,index,hiv4_pw,lm_pw,hiv4_tw,lm_tw,ticker,filing_date,excess_returns
0,1001250_EL_2018-02-02_clean.txt,0.0248571869692759,0.0189130770418403,11.432904446630472,45.8606348721789,EL,2018-02-02,0.005149094742872899
1,1002047_NTAP_2018-02-22_clean.txt,0.030692406065404,0.0376956336398514,46.15665506732695,305.4415662972217,NTAP,2018-02-22,0.02822256515081968
2,100493_TSN_2018-02-08_clean.txt,0.0250243500412077,0.0276466621712744,205.60144343328173,160.06352906109595,TSN,2018-02-08,0.005954587926701275
3,1013237_FDS_2018-01-09_clean.txt,0.0157781862745098,0.0130208333333333,11.161569186161648,96.48686411684588,FDS,2018-01-09,0.017293095353669775
4,1024478_ROK_2018-01-31_clean.txt,0.0201290322580645,0.020516129032258,4.203113163784321,17.152543216458685,ROK,2018-01-31,-0.05502182063615744
5,1037038_RL_2018-02-08_clean.txt,0.0201411425333539,0.0241075567918405,14.630618469639703,150.42147672580384,RL,2018-02-08,0.0271375356783659
6,1048695_FFIV_2018-02-02_clean.txt,0.0191989828353464,0.0219961856325492,5.091780153791726,58.17144322184668,FFIV,2018-02-02,0.04102181479306013
7,1048911_FDX_2018-03-21_clean.txt,0.0202439226748527,0.021903260599021,85.6072611650053,124.132789980774,FDX,2018-03-21,-0.0278490788502222
8,106040_WDC_2018-02-06_clean.txt,0.0398647861056066,0.0502778101565838,637.61321489279,809.7254089065377,WDC,2018-02-06,-0.040465884868046156
9,10795_BDX_2018-02-06_clean.txt,0.0269564308849649,0.0382405182321596,31.881649412406592,339.1021446331107,BDX,2018-02-06,-0.03862866691029336
10,1090872_A_2018-03-06_clean.txt,0.031911512300553,0.0336278685398258,37.81835720175786,93.01464405334428,A,2018-03-06,0.03390024291956732
11,1116132_TPR_2018-02-07_clean.txt,0.0173326564652984,0.0131264051055188,14.266733954096171,78.13282831079276,TPR,2018-02-07,-0.0019836764192831978
12,1137789_STX_2018-01-29_clean.txt,0.0266237565827969,0.0251609128145114,15.586912935159088,62.18975459954693,STX,2018-01-29,-0.011554016878545676
13,1140859_ABC_2018-02-06_clean.txt,0.0196603071195905,0.0312936249418334,19.12975790608177,43.65489868166491,ABC,2018-02-06,-0.020319114228791117
14,1170010_KMX_2018-01-04_clean.txt,0.020678246484698,0.0193916000367613,17.641763657353387,53.20407047257351,KMX,2018-01-04,0.02266209084296804
15,1260221_TDG_2018-02-07_clean.txt,0.0181547619047619,0.014781746031746,10.463349480980272,28.393489625531743,TDG,2018-02-07,-0.01826611086342821
16,1341439_ORCL_2018-03-21_clean.txt,0.0146669382766347,0.0198275276702654,25.17042378439136,123.736894401863,ORCL,2018-03-21,-0.004263373488001595
17,1383312_BR_2018-02-08_clean.txt,0.0155649148507599,0.0109869987181834,3.426997295065036,7.457496263869513,BR,2018-02-08,0.03816298954418059
18,1385157_TEL_2018-01-24_clean.txt,0.0254896313364055,0.0263536866359446,6.5759701559948,55.63839342036801,TEL,2018-01-24,0.012672719192788123
19,1403161_V_2018-02-01_clean.txt,0.0104442094130089,0.0189053410893706,8.981782960946575,44.95398021343105,V,2018-02-01,-0.03203929014611835
20,1467373_ACN_2018-03-22_clean.txt,0.0198736509607791,0.0167149249802579,5.495317968230484,25.356025757348466,ACN,2018-03-22,-0.0008738920713131674
21,14693_HCN_2018-03-07_clean.txt,0.0267731329262564,0.0199624236730859,17.731271986036,47.83752963439176,HCN,2018-03-07,
22,1564708_NWSA_2018-02-09_clean.txt,0.027876631079478,0.0272835112692763,83.52928485042153,70.7297568659038,NWSA,2018-02-09,0.028312086809643443
23,1596783_CTLT_2018-02-05_clean.txt,0.0286127387565634,0.0285366410471044,37.00981687829259,62.51777762726866,CTLT,2018-02-05,-0.06678214279936055
